,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,IndDivision,Manufacturing,Other,Services,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,T5xbin,C6xbin,T3xbin,labels
10,LUNA,LUNA INNOVATIONS INC,8731,0.047102530786146964,0.01550343443670161,0.01628205548313709,0.06496552146100372,0.47609825095230196,0,0.40148327775119635,0.1572171165173331,0.11646225926838943,0.12307584040363789,0.11162316563968111,0.1897348375682673,0.3003857901198522,0.29109713204149495,0.32233002337638506,0.258856095121223,0.4944537452998193,0.11955436311943263,0.20148705824567764,Services,0,0,1,1,0,0,0.24609581891985172,0.22009232541449936,0.89063264598868,0.932788629623161,0.4065395773296214,0.804581268131487,0.07214059867973867,0.3021709216768847,0.026621833822578204,0.7833543623890635,0.09687591603343948,2,0,4,2
11,MBLX,YIELD10 BIOSCIENCE INC.,8731,0.5546102538694483,0.3805876847459918,0.3823981221263626,0.7884284322774644,0.5341608381583693,1,0.0027713591943759144,0.5586050321918001,0.23726882384234455,0.3507815819161404,0.01180354952476571,0.19995234398255285,0.19117985289915562,0.1959260454267885,0.21047622430337098,0.4219569423634195,0.6644549715009322,0.3722662086231684,0.28731440915185547,Services,0,0,1,0,1,0,0.8167152046392279,0.23545814248796632,0.7933245925414338,0.4965423457247706,0.9964299712950545,0.9812598863363193,0.7764300116297779,0.7586147873044984,0.46248838410290555,0.763359580393268,0.33005256995220167,4,1,4,0
12,OLED,CAMBRIDGE DISPLAY TECHNOLOGY INC.,8731,0.37622258501788236,0.5019561906084825,0.502865540066132,0.11654990969181567,0.6768985367866007,0,0.04940658315782798,0.8243061236236227,0.2388847657960234,0.08149867051077397,0.07049407805094923,0.20253774861355855,0.2877149481253106,0.2542432329166237,0.2938972880623273,0.21148388702392873,0.1864609838395584,0.18002746056190894,0.16245007346513474,Services,0,0,1,1,0,0,0.24609581891985172,0.9976822267025541,0.34100352899085173,0.8527533772113911,0.24432980797081089,0.24988064206821775,0.20305695997902778,0.21582257942831645,0.06693366140394896,0.026314204156014206,0.2992257975065984,2,0,2,3
13,PRAI,PRA International,8731,0.8978070928531905,0.824183607459961,0.8228541830625782,0.7870881778087372,0.7738733173383527,1,0.8029313390799335,0.8992096468058997,0.2763495646106376,0.28384311993016553,0.6806556651611835,0.2077444053537899,0.1767930923270316,0.168958166684754,0.21047622430337098,0.19163987122660558,0.37969838235239145,0.29316751712078254,0.4534706870137978,Services,0,0,1,0,1,1,0.9594681495581632,0.4387068076351103,0.2626196342752208,0.46359633588119,0.5345285443362148,0.82092919956742,0.6565912946246621,0.9589910176885479,0.5497695933739639,0.5288269001665957,0.7102886873687787,3,1,2,1
14,SNMX,SENOMYX INC,8731,0.047102530786146964,0.006834892003930889,0.01628205548313709,0.08093089711133034,0.23489653990781484,1,0.2010804167494457,0.3291579700150034,0.3249775104520485,0.28384311993016553,0.061939755315579825,0.053310622018034735,0.04122383886681197,0.07222221532396438,0.10211194286679287,0.20641328447722607,0.7159451130738634,0.058189765286143905,0.10779269773566219,Services,0,0,1,1,1,0,0.24609581891985172,0.5730838468629137,0.34144965956796475,0.5028612465057198,0.7547683572607622,0.7535661073767803,0.08598810449379657,0.7246949854826772,0.10076230535548791,0.4016883676387141,0.3939413506580592,4,0,2,1
15,VIAC,VIACELL INC,8731,0.07391292080522441,0.032290800488386326,0.03354688625585928,0.13550215246294756,0.9872753157975744,1,0.0935727140104124,0.014415240141359227,0.5436782704591974,0.4135231193256524,0.23531488593498484,0.5564711424286629,0.5192604386489781,0.5010005046893168,0.47727852291998224,0.49713181669452094,0.37969838235239145,0.9516081321842147,0.6828094315387754,Services,0,0,1,1,1,0,0.24609581891985172,0.7531469934470804,0.8702357664508844,0.4349220517493938,0.5534252863490552,0.3697298625107358,0.9866331907409213,0.796074010221357,0.20661568222488919,0.2539991806312455,0.32543776122598267,3,0,4,0
16,GTEC,SOTERA DEFENSE SOLUTIONS INC.,8711,0.46452130174129813,0.6231424902627405,0.6230702070315971,0.335889330125996,0.1763572165420078,0,0.5623474566682116,0.9440060433128459,0.10984106742357308,0.183820219310942,0.5867030373093494,0.4221392914999379,0.475792818722467,0.4317413995245923,0.4531858346514822,0.24478518243995595,0.40781062694781667,0.26386542537685587,0.28731440915185547,Services,0,0,1,1,1,1,0.24609581891985172,0.08718480191283451,0.5447619775447938,0.7439374551247577,0.054610245700086275,0.4643296440427393,0.20092000213317424,0.23402885345305857,0.25468020830623805,0.9555434035962934,0.9887910208130913,1,0,3,2
17,MG,Mistras Group Inc. ,8711,0.4198672262431976,0.6231424902627405,0.6230702070315971,0.30827967018694535,0.7535511824418578,1,0.6040636843725128,0.4082902788152453,0.35727735856652476,0.5254692436361348,0.5361161685747606,0.8255136766677686,0.7469298006608024,0.7453308559589679,0.791622000921436,0.8019666561949589,0.8158744121483708,0.8427339080618982,0.9576444294704245,Services,0,0,1,1,1,1,0.24609581891985172,0.27920220720725114,0.4634716150221635,0.45846320160094933,0.6721695480196538,0.6758417672775999,0.702009390457964,0.8998641553788598,0.5269967508390628,0.7080564159251415,0.9060112620194486,3,0,2,1
18,RCH,CHINA CGAME INC.,8711,0.012560409548262468,0.5610038712830748,0.5655192889177535,0.9402117384827401,0.7381693877048441,1,0.9707913962074626,0.48628222505611335,0.798124727067712,0.035154104758210694,0.7853649005480019,0.17725677396626288,0.3058803128063051,0.28370958315032035,0.28354232673117163,0.1555201977923512,0.4508390899164414,0.3722662086231684,0.16245007346513474,Services,0,0,1,1,1,1,0.24609581891985172,0.7655310676374816,0.6936565214177592,0.8868369993783938,0.05570377918258348,0.7449146495740029,0.6012063357851407,0.19192210286045852,0.24355291129205653,0.244409701036093,0.4285574123678386,1,0,3,2
19,WLDN,Willdan Group Inc. ,8711,0.22119854703253072,0.10926224045479643,0.11155449989951743,0.20842131113283247,0.4059283087516853,0,0.39735271202606465,0.8223156300329277,0.08974974587110612,0.09664022346301554,0.348322502911112,0.1748022402562207,0.15224562263902092,0.15133754175053094,0.21340427288780967,0.1242063101136669,0.04167438703001955,0.15803190907726505,0.10015453152152431,Services,0,0,1,0,1,0,0.24609581891985172,0.13418433237751526,0.24971555926644529,0.624275551591316,0.2024874550654142,0.008090778877177447,0.31269295493727994,0.22319153684612225,0.06174758642156442,0.8976278063788259,0.027613427214628908,1,0,1,3
