,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
10,LUNA,LUNA INNOVATIONS INC,8731,0.125,0.0625,0.0625,0.16703787042537036,0.4894023060323318,0,0.46850393700787396,0.279865166535831,0.06622584284515327,0.1353811149032992,0.2996395456142129,0.2750352609308886,0.389408887764567,0.3183538568153953,0.34826883910386963,0.29081177520071366,0.44029850746268656,0.14864864864864866,0.291497975708502,1,0,0,0.0,0.3323250061583998,0.7409632975430445,0.791875968358806,0.45719725542668016,0.6664020626603067,0.1976404249357469,0.4104682339320362,0.1628557742155166,0.6441761171445873,0.2457241878988767,0,2,4,Services,0,0,1,0
11,MBLX,"YIELD10 BIOSCIENCE, INC.",8731,0.4583333333333333,0.4375,0.4375,0.5854677550502783,0.515543587354449,1,0.0039370078740157514,0.5003076527244189,0.1721252047612279,0.285551763367463,0.10950088094878975,0.28067700987306066,0.33936250948646596,0.2566234873927182,0.2790224032586558,0.3818019625334523,0.5298507462686567,0.32432432432432434,0.3441295546558704,0,1,0,0.4358974358974359,0.3417553856080921,0.6639287971050867,0.4943438668130115,1.0,0.9031428924974211,0.6180632577677253,0.6285112122639186,0.4200612676894754,0.629928588199324,0.40788220865879504,1,4,4,Services,0,0,1,0
12,OLED,"CAMBRIDGE DISPLAY TECHNOLOGY, INC.",8731,0.375,0.5,0.5,0.22522273288300673,0.5825305546027072,0,0.21062992125984253,0.6502389573390823,0.17328252104244807,0.08987485779294653,0.253414397970354,0.2820874471086037,0.3838434943924446,0.29596460365691135,0.3319755600814664,0.25958965209634255,0.26119402985074625,0.20270270270270271,0.2631578947368421,1,0,0,0.0,1.0,0.4343081007691642,0.6980632012427972,0.3726272046284603,0.3695131434655696,0.31680134351970546,0.36253306506835725,0.20732578346183342,0.18517500870836215,0.3915796187885527,0,2,2,Services,0,0,1,1
13,PRAI,PRA International,8731,0.6666666666666666,0.6875,0.6875,0.5846325464887963,0.6350384742133267,1,0.6712598425196851,0.7162076706422944,0.19903433757516006,0.24914675767918087,0.606523404213382,0.2849083215796897,0.3321949574163083,0.23604669758515912,0.2790224032586558,0.24531668153434433,0.3805970149253731,0.27927927927927926,0.4291497975708502,0,1,1,0.6666666666666666,0.44677246234523715,0.39212137577443945,0.4793715887409648,0.5171239648639816,0.678179582867771,0.5504589073492558,0.8138878446864958,0.46579281259730193,0.5005428976314146,0.5932004225841814,1,3,2,Services,0,0,1,1
14,SNMX,SENOMYX INC,8731,0.125,0.0,0.0625,0.18791760422854165,0.3704570675369755,1,0.36023622047244097,0.38760645718456466,0.23004441739764395,0.24914675767918087,0.24130784041790548,0.1763046544428773,0.24049245298929084,0.13497521189828882,0.18533604887983707,0.256021409455843,0.5597014925373134,0.06756756756756757,0.2145748987854251,1,1,0,0.0,0.5094928060279499,0.434535507429161,0.4972265535840526,0.6289439672687167,0.6330240774529114,0.21546890078946396,0.6097442103019634,0.23331112591635944,0.4417394180837796,0.4398703456102724,0,4,2,Services,0,0,1,1
15,VIAC,VIACELL INC,8731,0.16666666666666666,0.125,0.125,0.2417873291333745,0.9011217097657289,1,0.27165354330708663,0.054369162781385885,0.35495955904769744,0.3174061433447099,0.3899305059602986,0.45839210155148097,0.4863816510667004,0.429820352897276,0.42973523421588594,0.4201605709188225,0.3805970149253731,0.7342342342342343,0.5425101214574899,1,1,0,0.0,0.6021791047561352,0.721812932359773,0.4663619765492353,0.5259635688801351,0.4358056150169785,0.893619530207993,0.6509989148979307,0.29523006728325296,0.37122889617635063,0.40548500947983807,0,3,4,Services,0,0,1,0
16,GTEC,"SOTERA DEFENSE SOLUTIONS, INC.",8711,0.4166666666666667,0.5625,0.5625,0.3641425553001358,0.33339877063362083,0,0.5433070866141733,0.7758883663984608,0.058575145783811386,0.18543799772468714,0.5609745967763458,0.3906911142454161,0.466270343199258,0.3946372407910869,0.4175152749490835,0.2818911685994648,0.39552238805970147,0.26126126126126126,0.3441295546558704,1,1,1,0.0,0.22366217541044253,0.5319671685193813,0.6196040688434789,0.2039895310078303,0.4828745452666248,0.31536449342496986,0.3733879625446844,0.31945495949772973,0.8605018250227446,0.9102873899056977,0,1,3,Services,0,0,1,0
17,MG,"Mistras Group, Inc. ",8711,0.3958333333333333,0.5625,0.5625,0.35022273276468824,0.6232032520473846,1,0.5629921259842521,0.427798930487052,0.24956846474612018,0.3720136518771331,0.5376204740759819,0.6502115655853314,0.6167467746015685,0.5623967162428701,0.604887983706721,0.5932203389830508,0.6268656716417911,0.5990990990990991,0.7813765182186235,1,1,1,0.0,0.3669146783677864,0.49378931934689535,0.4770434133853274,0.5837532577414762,0.5885473393720388,0.5745097243143266,0.7319769808638475,0.45342822250119047,0.5943857625147203,0.733819101054555,0,3,2,Services,0,0,1,1
18,RCH,"CHINA CGAME, INC.",8711,0.020833333333333332,0.5300744047619048,0.5321902901785714,0.7220146845979424,0.6145909151301829,1,0.8627460691243024,0.46555625344795687,0.5157196592111907,0.009647326507394766,0.6648837072363654,0.2679830747531735,0.3918121258116199,0.31398262167492935,0.3258655804480652,0.2167707404103479,0.417910447761194,0.32432432432432434,0.2631578947368421,1,1,1,0.0,0.6095507164958244,0.6056193135773692,0.7313239957454,0.2058086497204632,0.627759588773496,0.5226783842196434,0.34743910970520947,0.014904383793217962,0.36628101257686607,0.45652327082072297,0,1,3,Services,0,0,1,0
19,WLDN,"Willdan Group, Inc. ",8711,0.2916666666666667,0.25,0.25,0.2939866636413027,0.4574470164117562,0,0.46653543307086615,0.648772067451091,0.03310046248581802,0.1080773606370876,0.45023550046953265,0.26657263751763044,0.31941984990302724,0.22144037528652913,0.28105906313645623,0.18822479928635147,0.08955223880597014,0.18468468468468469,0.20647773279352227,0,1,0,0.0,0.2702595018630554,0.38462249002427934,0.5545762266558365,0.34660132705947405,0.034478222434592906,0.3816611619812291,0.3669869191514856,0.20274975512764246,0.7537271383980277,0.12815916489329085,0,1,1,Services,0,0,1,1
