,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
10,LUNA,LUNA INNOVATIONS INC,8731,0.06363366925191555,0.053870820173735075,0.04173890889484417,0.301826714557756,0.4703004952544449,0,0.521913556569916,0.17794234019890348,0.2552477660980038,0.2634886243813398,0.15666299800948597,0.1979374368473218,0.27690354222462754,0.2930735610085035,0.32023808683387267,0.2747316181447167,0.46026199304343657,0.1730613483629908,0.2194679318552104,1,0,0,0.275191847760374,0.2900316893179322,0.6020315140219172,0.9382004459610136,0.47708519030442254,0.7705783261950289,0.08730058581319583,0.30890820406258696,0.13874018676880384,0.7117680025655266,0.360065611863539,0,2,4,Services,0,0,1,1
11,MBLX,YIELD10 BIOSCIENCE INC.,8731,0.5259379762946715,0.3888417836349619,0.3763678571758598,0.9875094527228931,0.5079680290993801,1,0.5009640852315758,0.5670397383894153,0.31594492869587415,0.35645555872269175,0.027120508943105547,0.20501212392961332,0.2028497510726105,0.20923943652175986,0.2203380882630579,0.40270078275700805,0.6004183147467355,0.3562257659318674,0.2910012129426115,0,1,0,0.6404077544838298,0.2990374562261291,0.5653545693314426,0.47923892397043366,0.5634537133386985,0.9676773125549353,0.7373325253454944,0.7073360317691171,0.3877214423971298,0.6913800343464065,0.4502056049096046,1,4,4,Services,0,0,1,1
12,OLED,CAMBRIDGE DISPLAY TECHNOLOGY INC.,8731,0.3697767504263667,0.475550461763981,0.46849077896260577,0.32530266233841015,0.6033783476799871,0,0.5102885923384687,0.8190119125010354,0.3166410466293518,0.23797473692731547,0.1091400453211237,0.20680400469754,0.26806041687710613,0.2609532042778267,0.2950928462938356,0.2359416133358671,0.20949316119463496,0.2219413300934271,0.18556643606082318,1,0,0,0.275191847760374,0.9025300386603494,0.45391372346367637,0.8503437050454428,0.46362267421746894,0.2586746626445905,0.2139557012722863,0.23312692606966706,0.17167866028405632,0.09086077428254558,0.44094219876645663,0,2,2,Services,0,0,1,0
13,PRAI,PRA International,8731,0.8551616923261647,0.7263196623568738,0.735274957447539,0.4825314072651516,0.6743271023037671,1,0.5310412152213033,0.8922191947697037,0.33229489482666075,0.3328294573518704,0.6812468462479162,0.2104154579938265,0.1933068621823954,0.18478614497441054,0.2203380882630579,0.21926861817200582,0.36846955278400567,0.3030546448083514,0.4248989016120748,0,1,1,0.8067700673387719,0.4066062580486827,0.4335732519742387,0.44742454337406895,0.4866415573815981,0.7869322393980378,0.6235105253235524,0.9241699668681914,0.44318817430353674,0.4863853461964642,0.5561827406791163,1,3,2,Services,0,0,1,0
14,SNMX,SENOMYX INC,8731,0.06363366925191555,0.0336667148087737,0.04173890889484417,0.31016374539373043,0.30697366521921243,1,0.4349102705336395,0.34845978820314616,0.3515386008364758,0.3328294573518704,0.09861583119578754,0.09864315267734519,0.096035541368785,0.0916663151079678,0.11852918683701263,0.2317090369883571,0.6452389166838683,0.11374270398760444,0.13551622649044137,1,1,0,0.275191847760374,0.47506066399341973,0.4540237459098642,0.48538586923751204,0.5791743097834723,0.99972866634135,0.10149769245414875,0.6757017636773842,0.1930656109173045,0.3909740522751457,0.46845618304123404,0,4,2,Services,0,0,1,0
15,VIAC,VIACELL INC,8731,0.09238453604583108,0.08265800250584199,0.06747236187029268,0.33212034445931604,0.9212694352772675,1,0.5130406961094273,0.020657836675226623,0.4324930857576781,0.37759420352032164,0.2833277320592993,0.48751799760127246,0.4490150695491729,0.4734596131003549,0.45645689008343554,0.4610117075910735,0.36846955278400567,0.8339186144708717,0.6148839171800209,1,1,0,0.275191847760374,0.5769816267254528,0.5929843907257558,0.4200454960274975,0.4880519694381995,0.3678823585265876,0.9738841031043645,0.7432344977072108,0.25019120284049545,0.28510675580090195,0.4488416493414331,0,3,4,Services,0,0,1,1
16,GTEC,SOTERA DEFENSE SOLUTIONS INC.,8711,0.4468234716284893,0.5634375117896849,0.5623404408289218,0.38407812427047694,0.26160806961577565,0,0.5252826363463582,0.9374945613487516,0.25111090711323336,0.2930827557957011,0.5993256751370449,0.36948420658235215,0.41123779520152576,0.4139465921513324,0.4352535576877891,0.2633360445441494,0.3909378305311805,0.2828273004577143,0.2910012129426115,1,1,1,0.275191847760374,0.19647556662821092,0.5013765057678493,0.731753125349607,0.43691661967300355,0.45327831604137603,0.21197677201157816,0.24933438483216386,0.27476283280172153,0.9266389354223334,0.7248088981213504,0,1,3,Services,0,0,1,1
17,MG,Mistras Group Inc. ,8711,0.407854367616449,0.5634375117896849,0.5623404408289218,0.37803999161433854,0.9864414552843936,1,0.5261689457546385,0.4245105676663665,0.3638565940141032,0.41466578184742997,0.5552805477469387,0.7950775786155551,0.6898808691750056,0.6920863133680765,0.7452526213104353,0.7163353756219609,0.7383122053608692,0.7014440452217153,0.9043172402607392,1,1,1,0.275191847760374,0.3236622871500182,0.48278697072685717,0.442502482738067,0.4972755421899505,0.646809387397957,0.6659326084281195,0.8511287178911036,0.4280329173606434,0.6379937687156951,0.6343781104334492,0,3,2,Services,0,0,1,0
18,RCH,CHINA CGAME INC.,8711,0.021595861055444605,0.5179566481531963,0.5169383312742295,0.5448191533558311,0.6472790712792684,1,0.5396466627003688,0.49867678915840624,0.5405011397174055,0.19648753153261062,0.7741360083504772,0.18930447232046121,0.28076583947703787,0.28666055809193636,0.28590353430760884,0.1880350517218673,0.42531108928540556,0.3562257659318674,0.18556643606082318,1,1,1,0.275191847760374,0.9999999999989787,0.5371954280837908,0.8879820095966463,0.4372033956338397,0.7122837396979848,0.5726168237055146,0.2115954775540806,0.0609798267812377,0.0006922480481983661,0.47798615099524455,0,1,3,Services,0,0,1,1
19,WLDN,Willdan Group Inc. ,8711,0.2327097287323589,0.1722316560058133,0.15316714927169117,0.35396162514588286,0.4246474265977552,0,0.521824874364544,0.8170921548725244,0.23759600104141876,0.2480147699241269,0.38887213658870723,0.18760611062524812,0.17699171168462935,0.16855492402147437,0.22299712979502873,0.15970885026231185,0.06849795474005939,0.20483314499624927,0.1281714955121861,0,1,0,0.275191847760374,0.23416233756954447,0.42997440422055366,0.606497263982087,0.45948732217786326,0.013414772509568754,0.3137141455973661,0.23970526892377547,0.16807538537866445,0.8438985338564058,0.29898858233062986,0,1,1,Services,0,0,1,0
